iter	Passed	Remaining
0	141	141473
1	142	71331
2	144	47890
3	145	36266
4	146	29216
5	147	24505
6	148	21136
7	149	18597
8	150	16612
9	151	15044
10	152	13755
11	153	12677
12	154	11764
13	156	10998
14	158	10384
15	159	9795
16	160	9273
17	161	8807
18	162	8390
19	163	8014
20	164	7680
21	165	7367
22	166	7079
23	167	6822
24	168	6580
25	170	6382
26	172	6219
27	173	6034
28	174	5856
29	176	5705
30	177	5559
31	179	5418
32	180	5281
33	181	5152
34	182	5040
35	183	4924
36	186	4859
37	187	4758
38	189	4677
39	190	4582
40	192	4493
41	193	4407
42	194	4325
43	195	4250
44	196	4176
45	197	4104
46	201	4093
47	203	4027
48	204	3963
49	205	3899
50	206	3838
51	207	3789
52	209	3736
53	210	3684
54	211	3633
55	213	3604
56	215	3562
57	220	3578
58	222	3547
59	223	3501
60	224	3456
61	225	3414
62	227	3386
63	231	3390
64	233	3361
65	234	3323
66	236	3287
67	237	3252
68	238	3223
69	240	3200
70	241	3166
71	243	3132
72	247	3140
73	248	3114
74	249	3083
75	251	3053
76	252	3031
77	253	3002
78	264	3087
79	266	3062
80	267	3034
81	268	3008
82	272	3014
83	274	2990
84	275	2968
85	278	2954
86	279	2935
87	281	2915
88	282	2892
89	285	2882
90	286	2859
91	287	2836
92	288	2813
93	289	2794
94	292	2784
95	293	2767
96	295	2750
97	297	2738
98	298	2720
99	300	2702
100	301	2682
101	302	2665
102	305	2659
103	306	2643
104	308	2631
105	310	2619
106	312	2608
107	313	2592
108	315	2580
109	317	2566
110	318	2552
111	321	2546
112	322	2531
113	323	2515
114	325	2503
115	326	2487
116	327	2474
117	329	2461
118	330	2446
119	331	2431
120	332	2416
121	333	2399
122	334	2384
123	336	2374
124	337	2365
125	339	2353
126	340	2338
127	343	2341
128	344	2329
129	346	2316
130	347	2305
131	348	2293
132	349	2280
133	353	2287
134	355	2276
135	356	2265
136	357	2254
137	358	2241
138	359	2229
139	360	2216
140	361	2204
141	362	2190
142	363	2178
143	364	2167
144	366	2158
145	368	2157
146	370	2148
147	371	2140
148	374	2136
149	375	2127
150	376	2118
151	378	2112
152	380	2104
153	381	2097
154	382	2087
155	384	2078
156	385	2071
157	386	2061
158	387	2051
159	388	2040
160	389	2028
161	390	2019
162	391	2010
163	392	2001
164	393	1992
165	395	1984
166	396	1977
167	398	1972
168	399	1964
169	400	1956
170	401	1948
171	402	1939
172	403	1930
173	404	1921
174	405	1912
175	406	1904
176	407	1896
177	409	1889
178	411	1885
179	412	1877
180	413	1870
181	414	1862
182	415	1854
183	416	1847
184	417	1839
185	418	1831
186	419	1824
187	420	1817
188	421	1809
189	423	1804
190	425	1802
191	426	1796
192	428	1790
193	429	1783
194	430	1778
195	431	1771
196	433	1765
197	434	1761
198	435	1754
199	436	1747
200	437	1741
201	439	1735
202	440	1729
203	441	1723
204	442	1717
205	444	1711
206	445	1705
207	446	1701
208	448	1696
209	449	1690
210	450	1684
211	451	1679
212	452	1673
213	454	1668
214	455	1663
215	456	1657
216	457	1651
217	458	1645
218	459	1640
219	460	1633
220	461	1627
221	462	1621
222	463	1615
223	464	1609
224	466	1607
225	467	1602
226	469	1598
227	470	1594
228	472	1592
229	473	1586
230	474	1580
231	475	1575
232	476	1570
233	478	1565
234	479	1560
235	480	1554
236	481	1549
237	482	1543
238	483	1539
239	485	1537
240	486	1533
241	487	1527
242	488	1522
243	489	1516
244	491	1514
245	492	1509
246	493	1503
247	494	1500
248	497	1501
249	499	1499
250	501	1495
251	503	1495
252	504	1490
253	506	1486
254	507	1481
255	508	1477
256	511	1479
257	513	1475
258	514	1472
259	515	1467
260	517	1463
261	518	1459
262	519	1454
263	520	1450
264	522	1449
265	527	1456
266	530	1455
267	531	1452
268	532	1448
269	534	1445
270	535	1441
271	536	1437
272	537	1432
273	538	1427
274	539	1422
275	541	1419
276	542	1415
277	543	1410
278	544	1407
279	545	1403
280	547	1399
281	548	1396
282	549	1392
283	550	1388
284	551	1384
285	553	1381
286	554	1377
287	555	1373
288	556	1369
289	557	1365
290	559	1363
291	562	1363
292	563	1360
293	567	1361
294	568	1357
295	569	1353
296	570	1350
297	571	1346
298	573	1344
299	574	1341
300	576	1337
301	577	1334
302	579	1332
303	580	1328
304	581	1324
305	582	1321
306	583	1317
307	584	1313
308	586	1310
309	587	1307
310	589	1305
311	590	1301
312	591	1298
313	593	1295
314	594	1292
315	595	1289
316	596	1285
317	597	1282
318	599	1278
319	600	1275
320	601	1272
321	602	1269
322	604	1266
323	605	1264
324	607	1260
325	611	1265
326	613	1262
327	614	1258
328	615	1256
329	616	1252
330	618	1249
331	621	1251
332	623	1248
333	624	1245
334	625	1241
335	626	1238
336	627	1235
337	628	1231
338	630	1228
339	631	1225
340	632	1222
341	633	1218
342	637	1221
343	639	1218
344	640	1215
345	641	1211
346	642	1208
347	644	1207
348	645	1203
349	646	1200
350	647	1196
351	649	1195
352	650	1192
353	651	1189
354	653	1187
355	654	1184
356	655	1180
357	656	1177
358	657	1173
359	658	1170
360	659	1168
361	660	1164
362	662	1161
363	664	1160
364	665	1157
365	666	1154
366	667	1150
367	668	1147
368	669	1144
369	670	1141
370	671	1138
371	672	1135
372	673	1132
373	675	1130
374	676	1127
375	680	1128
376	681	1125
377	682	1122
378	683	1120
379	684	1117
380	686	1114
381	687	1112
382	689	1110
383	690	1107
384	691	1104
385	695	1105
386	696	1102
387	697	1099
388	698	1097
389	699	1094
390	700	1091
391	701	1088
392	702	1085
393	703	1082
394	705	1080
395	706	1077
396	711	1080
397	712	1077
398	713	1074
399	714	1071
400	716	1069
401	717	1067
402	718	1065
403	719	1062
404	721	1059
405	722	1056
406	723	1054
407	726	1053
408	727	1050
409	728	1048
410	729	1045
411	730	1042
412	731	1040
413	734	1040
414	736	1038
415	738	1036
416	739	1034
417	741	1031
418	742	1029
419	743	1027
420	745	1025
421	746	1022
422	747	1020
423	749	1018
424	750	1015
425	751	1012
426	752	1010
427	754	1008
428	755	1006
429	756	1003
430	758	1000
431	759	998
432	760	995
433	761	993
434	762	990
435	763	987
436	764	985
437	765	982
438	766	980
439	769	979
440	771	977
441	772	975
442	774	973
443	775	970
444	776	968
445	777	965
446	778	963
447	780	961
448	782	959
449	783	957
450	784	955
451	786	953
452	788	951
453	789	949
454	790	946
455	791	944
456	792	941
457	794	940
458	795	938
459	796	935
460	797	932
461	801	933
462	802	931
463	804	928
464	805	926
465	806	924
466	808	922
